Equation	Cut_Index	Radius_Next	Velocity_Next
G	200000	1.141523e+00	9.405314e-01
G	200000	1.502801e+00	7.913585e-01
G	200000	1.744581e+00	-1.016789e+00
G	200000	1.537788e+00	-1.571686e+00
G	200000	2.179424e+00	-1.630360e+01
G	200000	3.973804e+00	-7.532799e+00
G	200000	4.811932e+00	-6.201819e+00
G	200000	5.400418e+00	-5.672778e+00
G	200000	5.869451e+00	-5.413911e+00
G	200000	6.592193e+00	-4.893198e+00
G	200000	7.928280e+00	-3.951600e+00
G	200000	8.519751e+00	-3.774884e+00
G	200000	8.960927e+00	-3.716209e+00
G	200000	9.068016e+00	-3.884354e+00
G	200000	9.693924e+00	-3.690376e+00
G	200000	9.082665e+00	-4.346355e+00
G	200000	7.124900e+00	-6.693033e+00
G	200000	3.378539e+00	-2.075785e+01
G	200000	8.490804e-01	-1.826260e+00
G	200000	1.154898e+01	-3.603921e+00
G	200000	6.880838e-01	-1.527364e+00
G	200000	1.028343e+00	1.027624e+00
G	200000	7.874566e-01	7.929687e-01
G	200000	8.371973e-01	1.353257e+00
G	200000	1.047478e+00	-1.244371e-01
G	200000	1.635892e+00	2.379330e+00
G	200000	1.360357e+00	4.004372e+00
G	200000	1.188855e+00	-3.033751e-01
G	200000	9.203037e-01	3.190247e-01
G	200000	8.225880e-01	-1.867806e+02
G	200000	8.348005e-01	3.980760e-01
G	200000	9.927171e-01	1.140323e+00
G	200000	1.066848e+00	3.144984e-01
G	200000	9.493484e-01	7.860541e-01
G	200000	8.906519e-01	6.788099e-01
G	200000	8.858280e-01	6.746692e-01
G	200000	9.415395e-01	8.457088e-01
G	200000	9.659043e-01	4.463869e-01
G	200000	9.126776e-01	-3.690451e-01
G	200000	8.302317e-01	4.482122e-01
G	200000	9.884956e-01	-9.905872e-01
G	200000	1.104291e+00	-3.865177e-01
G	200000	9.814844e-01	-5.321085e-03
G	200000	1.104010e+00	-3.406484e-01
G	200000	8.829990e-01	-3.657645e-01
G	200000	1.540294e+00	1.546850e-01
G	200000	9.423122e-01	-3.157257e+00
G	200000	4.919971e+00	-3.639976e+01
G	200000	4.953724e-01	2.122599e+01
G	200000	9.111671e-01	8.270760e+00
G	200000	2.300610e+00	-1.698200e+00
G	200000	2.640798e+00	-1.558337e+00
G	200000	2.603851e+00	-1.781787e+00
G	200000	3.812573e+00	-1.137623e+00
G	200000	3.929594e+00	-1.222606e+00
G	200000	3.842249e+00	-1.348472e+00
G	200000	4.195301e+00	-1.283152e+00
G	200000	4.779895e+00	-1.125357e+00
G	200000	1.712665e+00	5.471076e-01
G	200000	5.436336e+00	-1.058575e+00
G	200000	1.373557e+00	-5.146564e-01
G	200000	1.346242e+00	1.795984e+00
G	200000	3.744647e+00	-2.440733e+00
G	200000	3.802914e+00	-2.566302e+00
G	200000	6.213857e+00	-1.191235e+00
G	200000	5.340791e+00	-1.658486e+00
G	200000	1.125443e+00	2.597002e+00
G	200000	7.805175e-01	4.729108e+00
G	200000	2.568249e-01	2.438622e+01
G	200000	1.549275e+00	-1.612604e+01
G	200000	2.387442e+00	-9.195943e+00
G	200000	8.908072e-01	3.855637e+00
G	200000	1.094200e+00	2.729057e+00
G	200000	8.648275e-01	4.046020e+00
G	200000	1.968401e+00	-1.380898e+01
G	200000	4.424343e+00	-4.579790e+00
G	200000	4.894905e+00	-4.098510e+00
G	200000	1.417651e+00	6.152778e-02
G	200000	1.103207e+00	2.680724e+00
G	200000	1.007143e+00	3.103268e-01
G	200000	5.604767e+00	-3.813536e+00
G	200000	3.630180e+00	-7.277367e+00
G	200000	6.059994e+00	-3.604922e+00
G	200000	6.133086e+00	-3.644398e+00
G	200000	1.104636e+00	2.662019e+00
G	200000	9.752002e-01	9.430420e-01
G	200000	6.736658e+00	-3.442990e+00
G	200000	7.426546e+00	-2.334146e+00
G	200000	4.444038e+00	-6.564548e+00
G	200000	9.668768e+00	-1.502567e+00
G	200000	1.782356e+00	-2.419560e+01
G	200000	9.121107e-01	3.719609e+00
G	200000	7.258565e+00	-2.802111e+00
G	200000	9.445694e+00	-1.782176e+00
G	200000	8.862997e+00	-2.075194e+00
G	200000	2.139414e+00	-2.109925e+01
G	200000	1.876118e+00	-2.560191e+01
G	200000	9.709598e+00	-1.888061e+00
G	200000	9.450143e-01	3.493500e+00
G	200000	1.052394e+00	2.878606e+00
G	200000	1.714720e+00	-8.012055e-01
G	200000	2.707351e+00	-4.930561e-01
G	200000	8.981700e-01	1.010551e+00
G	200000	3.319586e+00	-4.614789e-01
G	200000	1.634870e+00	4.375774e-01
G	200000	3.677114e+00	-4.848340e-01
G	200000	4.897392e-01	5.616682e+00
G	200000	1.204033e+00	-4.992625e+00
G	200000	4.272534e+00	-4.443835e-01
G	200000	4.134625e+00	-5.217440e-01
G	200000	4.589603e+00	-4.674017e-01
G	200000	4.328750e+00	-5.919110e-01
G	200000	3.026729e+00	-1.177893e+00
G	200000	4.670447e+00	-5.810369e-01
G	200000	4.389086e+00	-6.865173e-01
G	200000	3.884394e+00	-1.405476e+00
G	200000	4.885866e+00	-6.461068e-01
G	200000	6.164771e-01	4.213693e+00
G	200000	5.094741e+00	-6.499727e-01
G	200000	5.543456e+00	-5.746575e-01
G	200000	4.954040e+00	-7.755129e-01
G	200000	4.813315e+00	-1.301109e+00
G	200000	1.417403e+00	4.380603e-01
G	200000	5.879372e+00	-6.299643e-01
G	200000	4.603140e+00	-1.108423e+00
G	200000	4.347009e+00	-1.267744e+00
G	200000	1.190287e+00	1.384617e+00
G	200000	1.088253e+00	1.698417e+00
G	200000	5.915856e+00	-7.866433e-01
G	200000	5.759150e+00	-8.711026e-01
G	200000	4.595510e+00	-1.876826e+00
G	200000	5.657634e+00	-1.417067e+00
G	200000	6.446975e+00	-7.688084e-01
G	200000	6.141590e+00	-1.319158e+00
G	200000	9.383177e-01	1.106397e+00
G	200000	1.344781e+00	5.337839e-01
G	200000	5.768097e+00	-1.140189e+00
G	200000	6.086281e+00	-1.490721e+00
G	200000	3.347116e+00	-3.003007e+00
G	200000	5.324443e+00	-1.449102e+00
G	200000	6.161152e+00	-1.136446e+00
G	200000	3.526761e+00	-3.005278e+00
G	200000	5.313662e+00	-2.075376e+00
G	200000	6.584927e+00	-1.081522e+00
G	200000	6.383203e+00	-1.192784e+00
G	200000	5.906849e+00	-1.424377e+00
G	200000	7.077227e+00	-1.019209e+00
G	200000	7.237041e+00	-1.440893e+00
G	200000	4.215488e+00	-2.706792e+00
G	200000	7.372551e+00	-1.009383e+00
G	200000	2.118601e+00	-2.857474e-01
G	200000	1.515288e+00	-5.215027e-01
G	200000	3.002602e+00	-1.542421e-01
G	200000	2.911654e+00	-1.945534e-01
G	200000	2.907630e+00	-2.299114e-01
G	200000	1.391258e+00	3.422659e-01
G	200000	3.342260e+00	-2.190862e-01
G	200000	3.229880e+00	-3.176021e-01
G	200000	3.640479e+00	-2.353764e-01
G	200000	1.144809e+00	-3.157430e-02
G	200000	3.263767e+00	-4.103472e-01
G	200000	8.648344e-01	-1.658013e-01
G	200000	3.889050e+00	-3.091437e-01
G	200000	1.161347e+00	-7.859027e-02
G	200000	5.246607e-01	-1.262002e+00
G	200000	4.058439e+00	-6.301476e-01
G	200000	1.299335e+00	5.314861e-02
G	200000	3.380339e+00	-9.113832e-01
G	200000	4.254980e+00	-6.703632e-01
G	200000	4.637066e+00	-3.178558e-01
G	200000	6.988966e-01	2.545100e+00
G	200000	5.489939e-01	3.647605e+00
G	200000	9.578586e-01	-8.051734e+00
G	200000	9.033696e-01	1.703088e+00
G	200000	8.776548e-01	1.788673e+00
G	200000	1.527386e+00	-4.615611e+00
G	200000	1.279807e+00	7.025043e-01
G	200000	4.458008e+00	-8.627727e-01
G	200000	3.788741e+00	-1.146650e+00
G	200000	2.488322e+00	-2.605647e+00
G	200000	4.704877e+00	-5.589187e-01
G	200000	5.142971e+00	-4.792247e-01
G	200000	2.739814e+00	-2.461621e+00
G	200000	4.378033e+00	-1.067254e+00
G	200000	4.380719e+00	-7.677900e-01
G	200000	1.209301e+00	1.727074e-01
G	200000	5.276916e+00	-5.449974e-01
G	200000	5.478271e+00	-8.307619e-01
G	200000	4.214266e+00	-1.294309e+00
G	200000	3.559080e+00	-1.713265e+00
G	200000	2.042619e+00	-3.217515e+00
G	200000	5.638192e+00	-5.578462e-01
G	200000	8.601158e-01	1.851208e+00
G	200000	5.198658e+00	-7.232474e-01
G	200000	5.788028e+00	-9.053637e-01
G	200000	4.097245e+00	-1.593281e+00
G	200000	9.624271e-01	1.512353e+00
G	200000	6.010213e+00	-9.112009e-01
G	200000	5.430098e+00	-7.634845e-01
G	200000	3.818306e+00	-2.224616e+00
G	200000	1.140972e+00	-3.196231e-01
G	200000	1.588907e+00	-2.876606e-01
G	200000	2.476372e+00	-8.694343e-02
G	200000	1.213730e+00	-3.262176e-01
G	200000	1.518979e+00	-8.469282e-01
G	200000	2.497537e+00	-4.471471e-01
G	200000	8.389687e-01	-1.255179e+00
G	200000	2.629829e+00	-4.694002e-01
G	200000	3.397837e+00	-9.932233e-02
G	200000	3.434488e+00	-1.091042e-01
G	200000	5.645418e-01	2.567325e+00
G	200000	3.373490e+00	-3.777010e-01
G	200000	3.313979e+00	-1.792218e-01
G	200000	3.064379e+00	-2.813067e-01
G	200000	3.025308e+00	-5.280335e-01
G	200000	1.188100e+00	-2.171929e+00
G	200000	3.566055e+00	-4.561526e-01
G	200000	2.072243e+00	-1.365246e+00
G	200000	3.894300e+00	-1.933094e-01
G	200000	4.007782e+00	-1.958017e-01
G	200000	8.297915e-01	-4.304910e-01
G	200000	4.045020e+00	-4.455468e-01
G	200000	2.481997e+00	-1.014089e+00
G	200000	4.163739e+00	-2.347427e-01
G	200000	4.009604e+00	-2.728732e-01
G	200000	3.463221e+00	-8.514471e-01
G	200000	3.418034e+00	-8.942375e-01
G	200000	3.469633e+00	-7.176690e-01
G	200000	4.432722e+00	-2.589808e-01
G	200000	3.383175e+00	-5.370203e-01
G	200000	1.322638e+00	-2.581045e+00
G	200000	3.993044e+00	-6.552473e-01
G	200000	4.949150e+00	-4.602885e-01
G	200000	4.562153e+00	-3.064149e-01
G	200000	4.804947e+00	-5.169859e-01
G	200000	4.735938e-01	-1.153021e+00
G	200000	3.614883e+00	-6.223787e-01
G	200000	3.817045e+00	-5.742164e-01
G	200000	1.939739e+00	-2.313515e+00
G	200000	4.694305e+00	-3.770870e-01
G	200000	7.702334e-01	6.185722e-01
G	200000	8.579344e-01	4.797876e-01
G	200000	5.216547e+00	-5.598445e-01
G	200000	2.518370e+00	-1.438368e+00
G	200000	4.069806e+00	-6.228708e-01
G	200000	5.427374e+00	-5.609589e-01
G	200000	2.967886e+00	-1.505820e+00
G	200000	4.485211e+00	-9.857100e-01
G	200000	1.125023e+00	6.309252e-01
G	200000	4.722692e+00	-9.485227e-01
G	200000	1.859585e+00	-3.521953e-02
G	200000	1.265534e+00	-4.872599e-01
G	200000	8.125767e-01	-8.284860e-01
G	200000	2.187087e+00	-9.851666e-02
G	200000	2.777739e+00	-1.951366e-01
G	200000	2.882805e+00	-2.501290e-02
G	200000	1.703858e+00	-7.578816e-01
G	200000	2.381240e+00	-1.134433e-01
G	200000	3.055337e+00	-2.309040e-01
G	200000	3.054064e+00	-2.386729e-01
G	200000	1.770229e+00	-6.040959e-01
G	200000	2.686557e+00	-3.398823e-01
G	200000	3.180016e+00	-2.747618e-01
G	200000	3.265938e+00	-8.197125e-02
G	200000	3.435707e+00	-2.537775e-01
G	200000	1.992774e+00	-4.094526e-01
G	200000	2.999631e+00	-1.823617e-01
G	200000	3.223696e+00	-1.673863e-01
G	200000	3.692911e+00	-2.739057e-01
G	200000	3.694935e+00	-2.830048e-01
G	200000	3.103353e+00	-2.292588e-01
G	200000	3.988861e+00	-2.705545e-01
G	200000	3.736226e+00	-1.303779e-01
G	200000	3.644137e+00	-4.695238e-01
G	200000	4.183980e+00	-2.749054e-01
G	200000	4.267795e+00	-2.760542e-01
G	200000	3.604963e+00	-5.218372e-01
G	200000	3.838834e+00	-1.703147e-01
G	200000	2.324012e+00	-8.720328e-01
G	200000	9.522745e-01	-4.337858e+00
G	200000	4.023097e+00	-4.942568e-01
G	200000	3.508431e+00	-2.997227e-01
G	200000	4.053470e+00	-1.974274e-01
G	200000	3.762008e+00	-2.581266e-01
G	200000	3.778227e+00	-2.677239e-01
G	200000	3.879929e+00	-2.736843e-01
G	200000	3.472268e+00	-3.850044e-01
G	200000	5.788041e-01	2.184071e+00
G	200000	3.829564e+00	-3.085575e-01
G	200000	1.123949e+00	3.159362e-01
G	200000	4.469941e+00	-4.155344e-01
G	200000	4.125872e+00	-4.954193e-01
G	200000	4.487245e+00	-4.357739e-01
G	200000	8.429103e-01	-2.737095e-01
G	200000	4.546350e+00	-5.705055e-01
G	200000	2.974021e+00	-1.096755e+00
G	200000	3.345197e+00	-8.000445e-01
G	200000	5.038817e+00	-3.967363e-01
G	200000	8.765543e-01	3.489625e-01
G	200000	4.371359e+00	-5.439404e-01
G	200000	1.004112e+00	-3.373516e-01
G	200000	1.513912e+00	-5.074512e-02
G	200000	1.131335e+00	-3.870969e-01
G	200000	2.202022e+00	-1.601264e-01
G	200000	9.356329e-01	6.043283e-01
G	200000	2.789892e+00	-1.295855e-01
G	200000	2.652210e+00	-2.393980e-03
G	200000	2.104323e+00	-6.806160e-02
G	200000	2.556640e+00	-5.232501e-02
G	200000	2.658159e+00	-3.691697e-02
G	200000	1.359404e+00	-5.930294e-01
G	200000	2.924141e+00	-2.850310e-01
G	200000	2.987917e+00	-2.870304e-01
G	200000	3.085090e+00	-2.853427e-01
G	200000	3.154300e+00	-2.865454e-01
G	200000	2.147870e+00	-2.507335e-01
G	200000	3.200052e+00	-4.914855e-02
G	200000	2.824187e+00	-1.022750e-01
G	200000	8.260241e-01	-1.782609e+00
G	200000	3.605353e+00	-1.870658e-01
G	200000	1.833375e+00	-7.834437e-01
G	200000	3.289011e+00	-8.101383e-02
G	200000	1.465288e+00	-1.380949e+00
G	200000	3.554000e+00	-3.245423e-01
G	200000	1.105372e+00	2.749757e-01
G	200000	3.159907e+00	-1.625003e-01
G	200000	3.630053e+00	-2.460482e-01
G	200000	3.926591e+00	-2.161556e-01
G	200000	8.588395e-01	9.340815e-01
G	200000	3.921888e+00	-2.357197e-01
G	200000	3.636738e+00	-1.196901e-01
G	200000	3.546272e+00	-1.481655e-01
G	200000	3.187754e+00	-5.014324e-01
G	200000	9.654605e-01	1.551432e-01
G	200000	3.328049e+00	-4.938022e-01
G	200000	2.552984e+00	-4.255626e-01
G	200000	1.028727e+00	5.963494e-01
G	200000	4.108043e+00	-3.806090e-01
G	200000	1.837528e+00	-1.464590e+00
G	200000	4.252727e+00	-3.768284e-01
G	200000	4.291756e+00	-3.806727e-01
G	200000	3.461692e+00	-2.694249e-01
G	200000	4.281210e+00	-4.006971e-01
G	200000	3.384974e+00	-6.887698e-01
G	200000	3.230559e+00	-3.584085e-01
G	200000	3.293870e+00	-5.293055e-01
G	200000	3.498131e+00	-3.125889e-01
G	200000	3.606036e+00	-2.902769e-01
G	200000	2.935483e+00	-4.841396e-01
G	200000	4.319928e+00	-4.594822e-01
G	200000	9.984762e-01	-9.731712e-02
G	200000	9.686516e-01	-1.488523e-01
G	200000	7.891245e-01	1.865781e-02
G	200000	1.743992e+00	-3.021958e-01
G	200000	8.661528e-01	-5.480412e-01
G	200000	1.774415e+00	-2.154295e-01
G	200000	1.633192e+00	-7.609077e-02
G	200000	2.647325e+00	-1.945880e-01
G	200000	2.992130e+00	-8.201055e-02
G	200000	3.056606e+00	-8.514942e-02
G	200000	1.085473e+00	4.090147e-01
G	200000	2.084547e+00	-7.112297e-02
G	200000	2.392183e+00	-3.864862e-02
G	200000	1.080202e+00	-1.152596e+00
G	200000	2.748865e+00	-2.461662e-01
G	200000	4.963946e-01	-3.500193e+00
G	200000	2.296454e+00	-1.055510e-01
G	200000	1.732098e+00	-5.475718e-01
G	200000	2.716587e+00	-2.940068e-01
G	200000	2.657847e+00	-4.000290e-01
G	200000	2.835704e+00	-6.196066e-02
G	200000	9.848009e-01	5.084713e-01
G	200000	6.181246e-01	3.336192e-01
G	200000	3.363377e+00	-2.465824e-01
G	200000	3.068582e+00	-7.992032e-02
G	200000	3.707724e+00	-2.221769e-01
G	200000	3.735743e+00	-2.262425e-01
G	200000	3.101355e+00	-3.948160e-01
G	200000	3.077184e+00	-4.092908e-01
G	200000	3.852482e+00	-2.354847e-01
G	200000	3.287895e+00	-3.907196e-01
G	200000	4.613530e-01	2.171916e+00
G	200000	2.987520e+00	-4.731227e-01
G	200000	2.682412e+00	-5.612032e-01
G	200000	3.996647e+00	-1.739910e-01
G	200000	3.972434e+00	-2.655357e-01
G	200000	3.512063e+00	-4.051799e-01
G	200000	2.588098e+00	-6.442247e-01
G	200000	2.047013e+00	-6.659540e-01
G	200000	3.018150e+00	-2.124309e-01
G	200000	2.575072e+00	-6.906074e-01
G	200000	1.637920e+00	-1.483903e+00
G	200000	4.038667e+00	-3.056971e-01
