Equation	Cut_Index	Radius_Next	Velocity_Next
KM	200000	1.166306e+00	4.737064e+00
KM	200000	1.411032e+00	-2.659430e+00
KM	200000	1.020897e+00	-1.931992e+01
KM	200000	1.844540e+00	9.925294e-01
KM	200000	1.719014e-01	-1.980907e+03
KM	200000	3.756782e+00	-5.024679e+01
KM	200000	4.706665e+00	-3.946086e+01
KM	200000	5.343996e+00	-3.553705e+01
KM	200000	5.843313e+00	-3.365255e+01
KM	200000	6.746097e+00	-2.920799e+01
KM	200000	7.959766e+00	-2.430497e+01
KM	200000	8.550136e+00	-2.324991e+01
KM	200000	8.996237e+00	-2.289096e+01
KM	200000	9.560157e+00	-2.206694e+01
KM	200000	8.295291e+00	-2.947226e+01
KM	200000	1.043940e+01	-2.149051e+01
KM	200000	3.397473e-01	1.633186e+02
KM	200000	1.412759e+00	1.687596e+01
KM	200000	5.933374e+00	-6.008940e+01
KM	200000	9.794139e-01	3.702490e+00
KM	200000	9.346228e-01	2.746900e+00
KM	200000	1.592127e+00	6.369912e+00
KM	200000	1.206784e+00	2.438686e+01
KM	200000	1.514656e+00	1.183938e+01
KM	200000	1.543943e+00	3.161039e+00
KM	200000	1.190180e+00	1.692955e+00
KM	200000	7.171014e-01	-5.531223e+00
KM	200000	8.247079e-01	1.031260e+01
KM	200000	8.420790e-01	5.163621e+00
KM	200000	9.084646e-01	6.012562e+00
KM	200000	7.909807e-01	5.173332e+00
KM	200000	9.258689e-01	-1.224611e+00
KM	200000	1.040543e+00	6.288878e+00
KM	200000	9.273886e-01	1.218000e+01
KM	200000	9.436784e-01	-4.497297e-01
KM	200000	8.137992e-01	2.252401e+01
KM	200000	6.844590e-01	-2.115552e+01
KM	200000	1.474162e+00	5.213935e+00
KM	200000	4.567953e+00	-2.039671e+02
KM	200000	6.452009e+00	-1.298707e+02
KM	200000	7.694123e+00	-1.040329e+02
KM	200000	1.003268e+00	3.418911e+01
KM	200000	9.134297e+00	-8.564828e+01
KM	200000	7.589592e+00	-1.134900e+02
KM	200000	1.015061e+01	-7.719075e+01
KM	200000	1.149823e+00	2.602059e+01
KM	200000	6.571549e-01	6.725286e+01
KM	200000	3.477755e+00	-3.546558e+02
KM	200000	1.230252e+01	-6.401294e+01
KM	200000	3.849825e+00	-3.225674e+02
KM	200000	2.293095e+00	-1.037430e+01
KM	200000	2.613787e+00	-9.661112e+00
KM	200000	2.896924e+00	-9.339939e+00
KM	200000	3.761038e+00	-7.105466e+00
KM	200000	3.964340e+00	-7.337499e+00
KM	200000	3.813466e+00	-8.395706e+00
KM	200000	1.367950e+00	-2.587183e+00
KM	200000	3.895622e+00	-9.944238e+00
KM	200000	1.592929e+00	2.585064e+00
KM	200000	5.036981e-01	4.490968e+01
KM	200000	5.596109e+00	-6.737318e+00
KM	200000	8.036132e-01	1.226667e+01
KM	200000	1.498126e+00	1.711270e+00
KM	200000	9.153055e-01	7.507942e+00
KM	200000	5.777575e+00	-8.412771e+00
KM	200000	6.621382e+00	-6.891051e+00
KM	200000	9.468197e-01	1.766489e+01
KM	200000	5.186247e-01	4.314253e+01
KM	200000	1.299711e+00	-1.195647e+02
KM	200000	2.022334e+00	-6.788398e+01
KM	200000	3.327315e+00	-3.517595e+01
KM	200000	3.747640e+00	-3.088405e+01
KM	200000	4.100412e+00	-2.820641e+01
KM	200000	8.400417e-01	2.134319e+01
KM	200000	1.387071e+00	3.560727e+00
KM	200000	9.419946e-01	9.281954e+00
KM	200000	1.141026e+00	1.213769e+01
KM	200000	9.457426e-01	-1.655680e+00
KM	200000	4.403612e+00	-3.107343e+01
KM	200000	3.555260e+00	-3.548379e+01
KM	200000	5.340866e+00	-2.510243e+01
KM	200000	2.512264e+00	-7.425027e+01
KM	200000	8.493399e+00	-9.585557e+00
KM	200000	1.033875e+00	-3.675326e+00
KM	200000	8.633015e+00	-1.001352e+01
KM	200000	5.920665e+00	-2.486819e+01
KM	200000	7.462084e+00	-1.401272e+01
KM	200000	5.280290e+00	-2.523241e+01
KM	200000	3.618176e+00	-4.524317e+01
KM	200000	9.960395e+00	-8.835257e+00
KM	200000	1.004936e+01	-8.965687e+00
KM	200000	9.838433e+00	-9.699404e+00
KM	200000	6.522378e+00	-2.570322e+01
KM	200000	7.236925e+00	-2.264289e+01
KM	200000	7.035927e+00	-2.412722e+01
KM	200000	8.541479e+00	-1.858115e+01
KM	200000	1.180355e+00	8.938694e-01
KM	200000	7.320190e+00	-2.430758e+01
KM	200000	9.861691e+00	-1.183258e+01
KM	200000	1.044359e+01	-1.082260e+01
KM	200000	2.346342e+00	-3.256129e+00
KM	200000	7.709132e-01	8.740791e+00
KM	200000	3.208783e+00	-2.453535e+00
KM	200000	3.073341e+00	-2.994870e+00
KM	200000	3.056933e+00	-3.433271e+00
KM	200000	1.527782e+00	8.255108e-01
KM	200000	4.019886e+00	-2.563260e+00
KM	200000	1.113497e+00	-3.338413e+01
KM	200000	1.522045e+00	-2.279013e+01
KM	200000	4.081890e+00	-3.297089e+00
KM	200000	1.193622e+00	7.374227e+00
KM	200000	3.010216e+00	-1.026779e+01
KM	200000	3.908976e+00	-4.615843e+00
KM	200000	1.246839e+00	-8.461818e-01
KM	200000	3.648288e+00	-6.028068e+00
KM	200000	1.361329e+00	1.599554e+00
